normVersion,source,dimension,gender,ageGroup,mean,sd,sampleSize
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,all,18-24,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,all,25-34,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,all,35-44,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,all,45+,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,female,18-24,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,female,25-34,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,female,35-44,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,female,45+,3.68,0.57,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,male,18-24,3.55,0.6,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,male,25-34,3.55,0.6,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,male,35-44,3.55,0.6,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",A,male,45+,3.55,0.6,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,all,18-24,3.55,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,all,25-34,3.55,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,all,35-44,3.55,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,all,45+,3.55,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,female,18-24,3.54,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,female,25-34,3.54,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,female,35-44,3.54,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,female,45+,3.54,0.61,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,male,18-24,3.48,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,male,25-34,3.48,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,male,35-44,3.48,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",C,male,45+,3.48,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,all,18-24,3.31,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,all,25-34,3.31,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,all,35-44,3.31,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,all,45+,3.31,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,female,18-24,3.25,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,female,25-34,3.25,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,female,35-44,3.25,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,female,45+,3.25,0.69,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,male,18-24,3.33,0.72,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,male,25-34,3.33,0.72,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,male,35-44,3.33,0.72,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",E,male,45+,3.33,0.72,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,all,18-24,2.82,0.76,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,all,25-34,2.82,0.76,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,all,35-44,2.82,0.76,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,all,45+,2.82,0.76,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,female,18-24,2.96,0.74,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,female,25-34,2.96,0.74,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,female,35-44,2.96,0.74,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,female,45+,2.96,0.74,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,male,18-24,2.75,0.77,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,male,25-34,2.75,0.77,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,male,35-44,2.75,0.77,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",N,male,45+,2.75,0.77,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,all,18-24,3.42,0.64,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,all,25-34,3.42,0.64,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,all,35-44,3.42,0.64,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,all,45+,3.42,0.64,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,female,18-24,3.44,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,female,25-34,3.44,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,female,35-44,3.44,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,female,45+,3.44,0.63,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,male,18-24,3.38,0.65,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,male,25-34,3.38,0.65,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,male,35-44,3.38,0.65,
ref_zhang2021_20260411,"Zhang et al., Assessment 2021, Chinese college sample",O,male,45+,3.38,0.65,