rank,code,title,matchScore,industryPrimary,industrySecondary,salaryMinK,salaryMaxK,aiRisk,ageMultiplier,inputAge,inputGender,O,C,E,A,N
1,CREATIVE_ART,艺术总监,73.2,创意,创意管理,25,60,0.2,1.25,36,male,1.85,0.56,0.7,0.89,-1.41
2,BIZ_CONSULT,管理咨询顾问,68.7,商业,咨询与管理,20,60,0.28,1.25,36,male,1.85,0.56,0.7,0.89,-1.41
3,MED_PSY,心理咨询师,67.6,医疗,心理健康,8,30,0.12,1.2,36,male,1.85,0.56,0.7,0.89,-1.41
4,FIN_IA,投资分析师,67.4,金融,投资研究,20,70,0.35,1.25,36,male,1.85,0.56,0.7,0.89,-1.41
5,ENG_ARCH,建筑设计师,67.4,工程,建筑设计,10,35,0.38,1.2,36,male,1.85,0.56,0.7,0.89,-1.41
6,EDU_TRAINER,企业培训师,66.4,教育,企业培训,12,40,0.25,1.2,36,male,1.85,0.56,0.7,0.89,-1.41
7,MED_DOC,临床医生,65.9,医疗,临床医学,15,50,0.18,1.25,36,male,1.85,0.56,0.7,0.89,-1.41
8,SOC_NPO,公益项目经理,65.2,社会服务,公益慈善,7,18,0.2,1.15,36,male,1.85,0.56,0.7,0.89,-1.41
9,SOC_SW,社会工作者,63.9,社会服务,社会工作,5,15,0.1,1.15,36,male,1.85,0.56,0.7,0.89,-1.41
10,BIZ_MKT,市场营销经理,62.6,商业,市场营销,12,30,0.48,1.15,36,male,1.85,0.56,0.7,0.89,-1.41